playerName,sport,year,brand,cardSet,condition,purchasePrice,currentValue,notes,cardNumber
Lionel Messi,Soccer,2024,Panini,Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS 263 Diego Fagundez Oil Spill Refractor,80
Bongokuhle Hlongwane,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS Short Prints MLS9 Zlatan Ibrahimovic,149
Nico Gonzalez,Soccer,2024,Panini,Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS 30 Gabriel Pec,5
Quinn Sullivan,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS 218 Lucho Acosta Oil Spill Refractor,290
Joseph Paintsil,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS 96 Benja Cremaschi Checkerboard,PF23
Gabriel Pec,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS 269 Cristian Espinoza Oil Spill Refractor,PF20
Riqui Puig,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS 211 Ryan Gauld Oil Spill Refractor,PF2
Alexey Miranchuk,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS 222 Jack Mcglynn Oil Spill Refractor,PF25
Nimfasha Berchimas,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS Finest Dominators DO10 Sergio Busquets,PF19
Lucho Acosta,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024-25 Panini Donruss FIFA Magicians 10 Lionel Messi,PF12
Osman Bukari,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024-25 Panini Donruss FIFA 80 Lionel Messi,32
Gyasi Zardes,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024-25 Panini Donruss FIFA Magicians 5 Nico Gonzalez,285
Robin Lod,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS 149 Bongokuhle Hlongwane Refractor,249
Cristian Roldan,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS 290 Quinn Sullivan Oil Spill Refractor,243
Lewis Morgan,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS Prized Footballers PF23 Joseph Paintsil,94
Cody Baker,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS Prized Footballers PF20 Gabriel Pec,145
Cody Baker,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS Prized Footballers PF2 Riqui Puig,45
Tyler Wolff,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS Prized Footballers PF19 Nimfasha Berchimas,65
Bongokuhle Hlongwane,Soccer,2024,Topps,Topps Finest MLS,New,0,0,2024 Topps Finest MLS Prized Footballers PF25 Alexey Miranchuk,149
Riccardo Calafiori,Soccer,2024,Panini,Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS 243 Cristian Roldan Oil Spill Refractor,24
Kristoffer Ajer,Soccer,2024,Panini,Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS Prized Footballers PF12 Lucho Acosta,93
Victor Boniface,Soccer,2024,Panini,Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS 32 Osman Bukari Refractor,164
Benjamin Tanimu,Soccer,2024,Panini,Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS 285 Gyasi Zardes Oil Spill Refractor,7
Federico Dimarco,Soccer,2024,Panini,Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS 249 Robin Lod Oil Spill Refractor,27
Mateo Retegui,Soccer,2024,Panini,Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS 94 Lewis Morgan Checkerboard,17
Federico Chiesa,Soccer,2024,Panini,Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS 145 Cody Baker Refractor,18
Alessandro Bastoni,Soccer,2024,Panini,Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS 45 Cody Baker Checkerboard,7
Alessandro Bastoni,Soccer,2024,Panini,Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS 149 Bongokuhle Hlongwane Checkerboard,29
Lorenzo Pellegrini,Soccer,2024,Panini,Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS 65 Tyler Wolff Refractor,19
Wilfried Zaha,Soccer,2023,Topps,Topps Stadium Club Chrome UEFA,New,0,0,2024-25 Panini Donruss FIFA 93 Kristoffer Ajer Optic-Argyle,SCWZ
Achraf Hakimi,Soccer,2024,Topps,2023-24 Topps Stadium Club Chrome UEFA,New,0,0,2024-25 Panini Donruss FIFA 164 Victor Boniface,SCAH
Warren Zaire-Emery,Soccer,2024,Topps,2023-24 Topps Stadium Club Chrome UEFA,New,0,0,2024-25 Panini Donruss FIFA Rookie Kings 7 Benjamin Tanimu,SCWZE
Montreal,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024-25 Panini Donruss FIFA 27 Federico Dimarco,TL3
Kang-in Lee,Soccer,2024,Topps,2023-24 Topps Stadium Club Chrome UEFA,New,0,0,2024-25 Panini Donruss FIFA 24 Riccardo Calafiori Optic-Argyle,51
Kang-in Lee,Soccer,2024,Topps,2023-24 Topps Stadium Club Chrome UEFA,New,0,0,2024-25 Panini Donruss FIFA 17 Mateo Retegui,FCKIL
Phil Foden,Soccer,2024,Panini,2024-25 Panini Donruss FIFA,New,0,0,2024-25 Panini Donruss FIFA Net Marvels 18 Federico Chiesa,66
Enzo Fernandez,Soccer,2024,Panini,2024-25 Panini Donruss FIFA,New,0,0,2024-25 Panini Donruss FIFA Pitch Kings 7 Alessandro Bastoni,21
Nicolas Otamendi,Soccer,2024,Panini,2024-25 Panini Donruss FIFA,New,0,0,2024-25 Panini Donruss FIFA 29 Alessandro Bastoni Optic-Plum Blossom,83
Valentin Barco,Soccer,2024,Panini,2024-25 Panini Donruss FIFA,New,0,0,2024-25 Panini Donruss FIFA 19 Lorenzo Pellegrini Silver,185
Lautaro Martinez,Soccer,2024,Panini,2024-25 Panini Donruss FIFA,New,0,0,2023-24 Topps Stadium Club Chrome UEFA Club Competitions Say Cheese! Scwz Wilfried Zaha,22
Alejandro Garnacho,Soccer,2024,Panini,2024-25 Panini Donruss FIFA,New,0,0,2023-24 Topps Stadium Club Chrome UEFA Club Competitions Say Cheese! Scah Achraf Hakimi,22
Julian Alvarez,Soccer,2024,Panini,2024-25 Panini Donruss FIFA,New,0,0,2023-24 Topps Stadium Club Chrome UEFA Club Competitions Say Cheese! Scwze Warren Zaire-Emery,22
Emiliano Martinez,Soccer,2024,Panini,2024-25 Panini Donruss FIFA,New,0,0,2024 Topps Finest MLS Team Logo TL3 CF Montreal,19
Hugo Cuypers,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2023-24 Topps Stadium Club Chrome UEFA Club Competitions 51 Kang-in Lee Green Refractor,7
Diego Luna,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2023-24 Topps Stadium Club Chrome UEFA Club Competitions Fully Charged Fckil Kang-in Lee,17
Cristian Arango,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024-25 Panini Donruss FIFA 66 Phil Foden,13
Sebastian Driussi,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024-25 Panini Donruss FIFA Zero Gravity 21 Enzo Fernandez,PF24
Santiago Rodriguez,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024-25 Panini Donruss FIFA 83 Nicolas Otamendi Optic-Argyle,FD14
Omar Campos,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024-25 Panini Donruss FIFA 185 Valentin Barco Optic-Argyle,FD9
Pedro de La Vega,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024-25 Panini Donruss FIFA Net Marvels 22 Lautaro Martinez,FD2
Joseph Paintsil,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024-25 Panini Donruss FIFA Crunch Time 22 Alejandro Garnacho,FD10
Gabriel Pec,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024-25 Panini Donruss FIFA Pitch Kings 22 Julian Alvarez,FD11
Luis Suarez,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024-25 Panini Donruss FIFA Crunch Time 19 Emiliano Martinez,FD3
Lionel Messi,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Prized Footballers PF7 Hugo Cuypers,FD1
Zlatan Ibrahimovic,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Prized Footballers PF17 Diego Luna,FD5
Kerwin Vargas,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Prized Footballers PF13 Cristian Arango,FD7
Pedro de La Vega,Soccer,2024,Topps,2024 Topps Chrome MLS,New,0,0,2024 Topps Finest MLS Prized Footballers PF24 Sebastian Driussi,CAPV
Riqui Puig,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Finest Debuts FD14 Santiago Rodriguez,PFF2
Luis Suarez,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Finest Debuts FD9 Omar Campos,DO2
Cristian Arango,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Finest Debuts FD2 Pedro de La Vega,BACA
Marco Reus,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Finest Debuts FD10 Joseph Paintsil,BAMR
Riqui Puig,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Finest Debuts FD11 Gabriel Pec,PFARP
Lucho Acosta,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Finest Debuts FD3 Luis Suarez,DOMLA
Zlatan Ibrahimovic,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Finest Debuts FD1 Lionel Messi,5
Diego Fagundez,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Finest Debuts FD5 Zlatan Ibrahimovic,181
Riqui Puig,Soccer,2024,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Finest Debuts FD7 Kerwin Vargas,202
Riqui Puig,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 181 Diego Fagundez Gold Refractor,100
Eduard Lowen,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 202 Riqui Puig Neon Green Refractor,123
Alexey Miranchuk,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 100 Riqui Puig Orange Refractor,43
Agustin Ojeda,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 43 Alexey Miranchuk Gold Refractor,126
Alonso Martinez,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 123 Eduard Lowen Aqua Refractor,111
Alonso Martinez,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 111 Alonso Martinez Gold Refractor,266
Cody Baker,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 126 Agustin Ojeda Gold Refractor,145
Diogo Goncalves,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 266 Alonso Martinez Aqua Refractor,47
Diogo Goncalves,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 145 Cody Baker Gold Refractor,47
Rafael Navarro,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 47 Diogo Goncalves Neon Green Refractor,210
Daniel Gazdag,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 47 Diogo Goncalves Gold Refractor,29
Randal Kolo Muani,Soccer,2023,Topps,2023-24 Topps Stadium Club Chrome,New,0,0,2024 Topps Finest MLS 210 Rafael Navarro Oil Spill Refractor,23
Mauro Icardi,Soccer,2023,Topps,2023-24 Topps Stadium Club Chrome,New,0,0,2024 Topps Finest MLS 29 Daniel Gazdag Orange Refractor,69
La Galaxy,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2023-24 Topps Stadium Club Chrome UEFA Club Competitions 23 Randal Kolo Muani,12
Pedro de La Vega,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2023-24 Topps Stadium Club Chrome UEFA Club Competitions 69 Mauro Icardi,231
Diego Fagundez,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Team Logo TL12 La Galaxy,BADF
Diego Fagundez,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 231 Pedro de La Vega Aqua Refractor,BADF
Lionel Messi,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Autographs Badf Diego Fagundez,USC16
Nouhou,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,78.94153846153846,2024 Topps Finest MLS Autographs Badf Diego Fagundez Gold Refractor,33
Zlatan Ibrahimovic,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Chrome MLS 33 Nouhou Red Refractor,MLS9
Zlatan Ibrahimovic,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Short Prints MLS9 Zlatan Ibrahimovic,PA14
Benja Cremaschi,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Autographs Babc Benja Cremaschi,BABC
Riqui Puig,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Finest Fabrics Relics Ffrp Riqui Puig Gold Refractor,FFRP
Andre Blake,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 132 Andre Blake Red Refractor,132
Thomas Williams,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Autographs Bath Thomas Williams,BATH
Stiven Jimenez,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Autographs Basj Stiven Jimenez Gold Refractor,BASJ
Pedro de La Vega,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Autographs Bapd Pedro de La Vega,BAPD
Marco Reus,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS Prized Footballers Fusion PFF10 Marco Reus Yellow/Red,PFF10
Diego Fagundez,Soccer,2023,Topps,Topps Finest,New,0,0,2024 Topps Finest MLS 263 Diego Fagundez Orange Refractor,263
Alexey Miranchuk,Soccer,2023,Topps,Topps Finest,New,0,0,2024 Topps Finest MLS 254 Alexey Miranchuk Orange Refractor,254
Bradley Barcola,Soccer,2023,Topps,Topps Stadium Club Chrome,New,0,0,2024 Topps Finest MLS Prized Footballers Autographs Pfalu Lucho Acosta Orange Refractor,86
Lucho Acosta,Soccer,2023,Topps,Topps Finest,New,0,0,2024 Topps Finest MLS Autographs Balu Lucho Acosta Neon Green Refractor,PFALU
Lucho Acosta,Soccer,2023,Topps,Topps Finest,New,0,0,2024-25 Panini Donruss FIFA Rookie Kings 3 Alhassan Yusuf,BALU
Alhassan Yusuf,Soccer,2024,Panini,Panini Donruss,New,0,0,,3
Erling Haaland,Soccer,2024,Panini,Panini Donruss,New,0,0,2024-25 Panini Donruss FIFA 96 Erling Haaland Optic,96
Liel Abada,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,0,2024 Topps Finest MLS 137 Liel Abada Aqua Refractor,137
Endrick,Soccer,2024,Topps,Topps UEFA,New,0,0,2024-25 Topps Gold UEFA Club Competitions Future Stars Endrick,
Erling Haaland,Soccer,2024,Topps,Topps UEFA,New,0,0,2024-25 Topps UEFA Club Competitions 9 Erling Haaland,9
Martin Odegaard,Soccer,2024,Panini,Panini Donruss,New,0,4.438571428571428,2024-25 Panini Donruss FIFA Magicians 4 Martin Odegaard,4
Lionel Messi,Soccer,2023,Topps,2024 Topps Finest MLS,New,0,4.815714285714286,2024 Topps Finest MLS Finest Dominators DO1 Lionel Messi,1
